Finess_geo,rs_finess_geo,Finess_plage,rs_finess,type,region_id,region,participation,Depot,score_all_ajust,nb_rep,classement
50000223,CENTRE HOSPITALIER D'AIGUILLES,50000108,CENTRE HOSPITALIER D'AIGUILLES,CH,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
50000231,CH DES ESCARTONS DE BRIANCON,50000116,CENTRE HOSPITALIER LES ESCARTONS,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
50000256,CENTRE HOSPITALIER D'EMBRUN,50000124,CENTRE HOSPITALIER D'EMBRUN,CH,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
50000348,CHI DES ALPES DU SUD SITE DE GAP,50002948,CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,70.25,159,D
60000478,CENTRE HOSPITALIER DE GRASSE,60780897,CENTRE HOSPITALIER DE GRASSE,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,73.18,49,C
60000486,CH SAINT ELOI DE SOSPEL,60780905,CENTRE HOSPITALIER SAINT ELOI DE SOSPEL,CH,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
60000510,CH D'ANTIBES JUAN LES PINS,60780954,CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
60000528,CENTRE ANTOINE LACASSAGNE,60000528,CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE,CLCC,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,75.78,44,B
60000536,HOPITAUX DE LA VESUBIE,60006889,HOPITAUX DE LA VESUBIE A ROQUEBILLIERE,CH,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
60000544,CH PIERRE NOUVEAU CANNES,60780988,CENTRE HOSPITALIER PIERRE NOUVEAU CANNES,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
60001450,CHU DE NICE HOPITAL SAINT ROCH,60785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
60002102,CH LA PALMOSA DE MENTON,60791761,CENTRE HOSPITALIER LA PALMOSA DE MENTON,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
60021417,HOPITAL PRIVE CANNES OXFORD,60021417,HOPITAL PRIVE CANNES OXFORD,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
60780442,CLINIQUE SAINT FRANCOIS,60780442,CLINIQUE SAINT FRANCOIS,Privé lucratif,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
60780491,INSTITUT ARNAULT TZANCK,60780491,INSTITUT ARNAULT TZANCK,Privé non lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,75.62,143,B
60780517,POLYCLINIQUE SAINT JEAN,60780517,POLYCLINIQUE SAINT JEAN,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,73.56,197,C
60780590,CLINIQUE DU PALAIS,60780590,CLINIQUE DU PALAIS,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,77.58,31,A
60780665,CLINIQUE DU MERIDIEN,60780665,CLINIQUE DU MERIDIEN,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
60780715,CLINIQUE SAINT GEORGE,60780715,CLINIQUE SAINT GEORGE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,72.66,169,C
60780723,CLINIQUE DU PARC IMPERIAL,60780723,CLINIQUE DU PARC IMPERIAL,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
60780756,POLYCLINIQUE SANTA MARIA,60780756,POLYCLINIQUE SANTA MARIA,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,68.78,113,D
60780947,HOP PEDIATRIQUES DE NICE CHU LENVAL,60780947,HOPITAUX PEDIATRIQUES DE NICE CHU LENVAL,EBNL,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,69.08,86,D
60781200,CLINIQUE SAINT ANTOINE,60781200,CLINIQUE SAINT ANTOINE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
60785003,CHU DE NICE HOPITAL PASTEUR,60785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,73,209,C
60785219,CLINIQUE PLEIN CIEL,60785219,CLINIQUE PLEIN CIEL,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,72.09,58,C
60789195,CHU DE NICE HOPITAL DE L'ARCHET,60785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,70.99,394,C
60794013,CTRE CARDIO MEDICO CHIRURGICAL TZANCK,60794013,CENTRE DE CARDIOLOGIE MEDICO CHIRURGICAL TZANCK,EBNL,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,73.93,89,C
60800166,CLINIQUE DE L'ESPERANCE,60800166,CLINIQUE DE L'ESPERANCE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,72.59,136,C
70000013,CH DES VALS D'ARDÈCHE,70002878,CH DES VALS D'ARDOCHE,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,2- Non,0,0,NR
70000096,HOPITAL DE MOZE,70000096,HOPITAL DE MOZE,EBNL,84,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,0,0,DI
70000146,CH DE LARGENTIÈRE,70004742,CHI DE ROCHER LARGENTIORE,CH,84,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,0,0,DI
70000179,CH D'ARDÈCHE NORD,70780358,CH D'ARDOCHE NORD,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
70000187,CH DE LAMASTRE,70780366,CH DE LAMASTRE,CH,84,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,0,0,DI
70000195,CH DE TOURNON,70780374,CH DE TOURNON,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
70000484,CENTRE HOSPITALIER BOIS VERT,70005566,CENTRE HOSPITALIER ARDECHE MERIDIONALE,CH,84,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,0,0,DI
70000609,CENTRE HOSPITALIER D'AUBENAS,70005566,CENTRE HOSPITALIER ARDECHE MERIDIONALE,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
70780168,CLINIQUE DU VIVARAIS,70780168,CLINIQUE DU VIVARAIS SAINT DOMINIQUE,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
70780408,CLINIQUE DES CÉVENNES,70780408,CLINIQUE DES CEVENNES,Privé lucratif,84,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,0,0,DI
70780424,CLINIQUE PASTEUR,70780424,CLINIQUE PASTEUR,Privé lucratif,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,71.32,131,C
80000110,CENTRE HOSPITALIER DE SEDAN,80000037,CENTRE HOSPITALIER DE SEDAN,CH,44,Grand Est,1- Obligatoire,2- Non,0,0,NR
80000219,CENTRE HOSPITALIER DE RETHEL,80001969,GROUPE HOSPITALIER SUD ARDENNES,CH,44,Grand Est,1- Obligatoire,1- Oui,0,0,DI
80000425,HOPITAL MANCHESTER - CH CHARLEVILLE,80000615,CENTRE HOSPITALIER DE CHARLEVILLE MEZIERES,CH,44,Grand Est,1- Obligatoire,1- Oui,0,0,DI
80010473,GCS TERRIT ARDEN NORD SITE CH CHARLEVI,80010473,GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES,EBNL,44,Grand Est,1- Obligatoire,2- Non,0,0,NR
90000175,CH INTERCOMMUNAL DU VAL D'ARIEGE,90781774,CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE,CH,76,Occitanie,1- Obligatoire,1- Oui,0,0,DI
90000183,CENTRE HOSPITALIER ARIEGE COUSERANS,90781816,CENTRE HOSPITALIER ARIEGE COUSERANS,CH,76,Occitanie,1- Obligatoire,1- Oui,0,0,DI
100000082,CLINIQUE DU PAYS DE SEINE,100000082,CLINIQUE DU PAYS DE SEINE,Privé lucratif,44,Grand Est,1- Obligatoire,1- Oui,0,0,DI
100000090,CENTRE HOSPITALIER DE TROYES,100000017,CENTRE HOSPITALIER DE TROYES,CH,44,Grand Est,1- Obligatoire,1- Oui,0,0,DI
100000124,POLYCLINIQUE MONTIER LA CELLE,100000124,POLYCLINIQUE MONTIER LA CELLE,Privé lucratif,44,Grand Est,1- Obligatoire,1- Oui,73.33,58,C
100000140,CENTRE HOSPITALIER DE BAR-SUR-SEINE,100000058,HOPITAL LOCAL DE BAR-SUR-SEINE,CH,44,Grand Est,2- Facultatif,1- Oui,0,0,DI
100000157,POLYCLINIQUE DES URSULINES,100000157,POLYCLINIQUE DES URSULINES,Privé lucratif,44,Grand Est,2- Facultatif,1- Oui,0,0,DI
100000199,CENTRE HOSPITALIER DE ROMILLY/SEINE,100006279,GROUPEMENT HOSPITALIER AUBE MARNE,CH,44,Grand Est,1- Obligatoire,2- Non,0,0,NR
100002351,CLINIQUE DE CHAMPAGNE,100002351,CLINIQUE DE CHAMPAGNE,Privé lucratif,44,Grand Est,1- Obligatoire,1- Oui,0,0,DI
110000023,CH CARCASSONNE,110780061,CENTRE HOSPITALIER DE CARCASSONNE,CH,76,Occitanie,1- Obligatoire,1- Oui,69.96,89,D
110000056,CH NARBONNE HOTEL DIEU,110780137,CENTRE HOSPITALIER DE NARBONNE,CH,76,Occitanie,1- Obligatoire,1- Oui,0,0,DI
110000247,CH LEZIGNAN CORBIERES,110780772,CENTRE HOSPITALIER DE LEZIGNAN CORBIERES,CH,76,Occitanie,2- Facultatif,1- Oui,0,0,DI
110780228,POLYCLINIQUE LE LANGUEDOC,110780228,POLYCLINIQUE LE LANGUEDOC,Privé lucratif,76,Occitanie,1- Obligatoire,1- Oui,71.55,92,C
110780483,POLYCLINIQUE MONTREAL,110780483,POLYCLINIQUE MONTREAL,Privé lucratif,76,Occitanie,1- Obligatoire,1- Oui,0,0,DI
120000039,C.H. DE RODEZ HOPITAL JACQUES PUEL,120780044,CENTRE HOSPITALIER DE RODEZ HOPITAL JACQUES PUEL,CH,76,Occitanie,1- Obligatoire,1- Oui,0,0,DI
120000054,CH VILLEFRANCHE DE ROUERGUE,120780069,CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE,CH,76,Occitanie,1- Obligatoire,2- Non,0,0,NR
120000070,CH PIERRE DELPECH DECAZEVILLE,120780085,CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE,CH,76,Occitanie,1- Obligatoire,2- Non,0,0,NR
120004569,CENTRE HOSPITALIER DE MILLAU,120004528,CENTRE HOSPITALIER DE MILLAU,CH,76,Occitanie,1- Obligatoire,1- Oui,71.46,63,C
120004668,CENTRE HOSPITALIER DE SAINT AFFRIQUE,120004619,CENTRE HOSPITALIER DE SAINT AFFRIQUE,CH,76,Occitanie,1- Obligatoire,1- Oui,0,0,DI
130000409,CHI SITE D'AIX EN PROVENCE,130041916,CHI AIX PERTUIS,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,65.24,51,D
130000565,CH EDMOND GARCIN D'AUBAGNE,130781446,CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130001225,CH SALON DE PROVENCE,130782634,CENTRE HOSPITALIER DE SALON DE PROVENCE,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130001647,INSTITUT PAOLI CALMETTES,130001647,INSTITUT PAOLI CALMETTES,CLCC,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,76.22,361,B
130002215,CENTRE HOSPITALIER DE LA CIOTAT,130785512,CENTRE HOSPITALIER DE LA CIOTAT,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,73.93,47,C
130002827,CH JOSEPH IMBERT D'ARLES,130789274,CENTRE HOSPITALIER JOSEPH IMBERT ARLES,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130002835,CH DE MARTIGUES HOPITAL DES RAYETTES,130789316,CENTRE HOSPITALIER DE MARTIGUES,CH,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130008253,CLINIQUE DE VITROLLES,130008253,CLINIQUE DE VITROLLES,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,75.4,92,B
130037922,CLINIQUE DE LA RESIDENCE DU PARC,130037922,CLINIQUE DE LA RESIDENCE DU PARC,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,70.68,43,D
130041767,EUROMED CARDIO,130041767,EUROMED CARDIO,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130042096,GCS CENTRE CARDIO AXIUM RAMBOT,130042096,CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130043664,HOPITAL EUROPEEN,130043664,HOPITAL EUROPEEN,EBNL,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,77.84,275,A
130780521,APHM HOPITAL NORD,130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,70.29,127,D
130781289,POLYCLINIQUE DU PARC RAMBOT PROVENCALE,130781289,POLYCLINIQUE DU PARC RAMBOT PROVENCALE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130781370,CLINIQUE JEANNE D'ARC,130781370,CLINIQUE JEANNE D'ARC,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130781479,HOPITAL PRIVE LA CASAMANCE,130781479,HOPITAL PRIVE LA CASAMANCE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,72.98,81,C
130781867,CLINIQUE DE LA CIOTAT,130781867,CLINIQUE DE LA CIOTAT,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
130782071,CLINIQUE DE L'ETANG DE L'OLIVIER,130782071,CLINIQUE DE L'ETANG DE L'OLIVIER,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130782147,CLINIQUE GENERALE DE MARIGNANE,130782147,CLINIQUE GENERALE DE MARIGNANE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130782162,CLINIQUE CHIRURGICALE DE MARTIGUES,130782162,CLINIQUE CHIRURGICALE DE MARTIGUES,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130782675,CLINIQUE VIGNOLI,130782675,CLINIQUE VIGNOLI,Privé lucratif,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
130783236,APHM HOPITAL DE LA CONCEPTION,130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,67.19,68,D
130783293,APHM HOPITAL LA TIMONE ADULTES,130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130783327,CLINIQUE BOUCHARD,130783327,CLINIQUE BOUCHARD,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,71.06,30,C
130783665,CLINIQUE DE BONNEVEINE,130783665,CLINIQUE DE BONNEVEINE,EBNL,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130783723,CLINIQUE JUGE,130783723,CLINIQUE JUGE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,78.42,83,A
130783772,CLINIQUE MONTICELLI,130783772,CLINIQUE MONTICELLI,Privé lucratif,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
130784051,HOPITAL PRIVE CLAIRVAL,130784051,HOPITAL PRIVE CLAIRVAL,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,73.81,243,C
130784234,APHM HOPITAUX SUD SAINTE MARGUERITE,130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130784713,HOPITAL PRIVE BEAUREGARD VERT COTEAU,130784713,HOPITAL PRIVE MARSEILLE BEAUREGARD VERT COTEAU,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
130784903,CLINIQUE LA PHOCEANNE,130784903,CLINIQUE LA PHOCEANNE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130785389,CLINIQUE CHANTECLER,130785389,CLINIQUE CHANTECLER,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130785652,HOPITAL ST JOSEPH,130785652,HOPITAL SAINT JOSEPH,EBNL,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,72.04,184,C
130785678,HOPITAL PRIVE VERT COTEAU BEAUREGARD,130785678,HOPITAL PRIVE MARSEILLE VERT COTEAU BEAUREGARD,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,2- Non,0,0,NR
130786361,POLYCLINIQUE DU PARC RAMBOT,130786361,POLYCLINIQUE DU PARC RAMBOT,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,71.84,65,C
130786445,MATERNITE CATHOLIQUE PROVENCE L'ETOILE,130786445,MATERNITE CATHOLIQUE DE PROVENCE L'ETOILE,EBNL,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,71.67,205,C
130786742,HIA LAVERAN,130786742,HOPITAL D'INSTRUCTION DES ARMEES LAVERAN,CH,12,SSA,1- Obligatoire,1- Oui,74.06,40,B
130789159,CENTRE CARDIO VASCULAIRE VALMANTE,130789159,CENTRE CARDIO VASCULAIRE VALMANTE,Privé lucratif,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
130804297,APHM HOPITAL LA TIMONE ENFANTS,130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,CHU,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,0,0,DI
130809015,CTRE GERONTO DPTAL LA TOUR BLANCHE,130001928,CENTRE GERONTOLOGIQUE DEPARTEMENTAL,CH,93,Provence-Alpes-Côte d'Azur,2- Facultatif,1- Oui,0,0,DI
130810740,CLINIQUE AXIUM,130810740,CLINIQUE AXIUM,Privé lucratif,93,Provence-Alpes-Côte d'Azur,1- Obligatoire,1- Oui,75.94,91,B
140000027,CENTRE HOSPITALIER DE LISIEUX,140000035,CENTRE HOSPITALIER DE LISIEUX,CH,28,Normandie,1- Obligatoire,1- Oui,0,0,DI
140000209,CHU COTE DE NACRE - CAEN,140000100,CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE,CHU,28,Normandie,1- Obligatoire,1- Oui,66.62,51,D
140000233,CENTRE HOSPITALIER DE FALAISE,140000118,CENTRE HOSPITALIER DE FALAISE,CH,28,Normandie,1- Obligatoire,1- Oui,0,0,DI
140000290,CLINIQUE NOTRE DAME - VIRE,140000290,CLINIQUE NOTRE DAME - VIRE,Privé lucratif,28,Normandie,1- Obligatoire,1- Oui,0,0,DI
140000373,CENTRE HOSPITALIER DE VIRE,140000159,CENTRE HOSPITALIER DE VIRE,CH,28,Normandie,1- Obligatoire,2- Non,0,0,NR
140000555,CRLCC FRANCOIS BACLESSE - CAEN,140000555,CENTRE REGIONAL DE LUTTE CONTRE LE CANCER FRANCOIS BACLESSE,CLCC,28,Normandie,1- Obligatoire,1- Oui,78.77,74,A
140002452,CLINIQUE DE LA MISERICORDE - CAEN,140002452,CLINIQUE DE LA MISERICORDE - CAEN,EBNL,28,Normandie,2- Facultatif,1- Oui,0,0,DI
140016759,POLYCLINIQUE DU PARC - CAEN,140016759,POLYCLINIQUE DU PARC - CAEN,Privé lucratif,28,Normandie,1- Obligatoire,2- Non,0,0,NR
140017237,HOPITAL PRIVE ST MARTIN-CAEN,140017237,HOPITAL PRIVE ST MARTIN-CAEN,Privé lucratif,28,Normandie,1- Obligatoire,1- Oui,73.48,134,C
140018730,POLYCLINIQUE DE LISIEUX,140018730,POLYCLINIQUE DE LISIEUX,Privé lucratif,28,Normandie,1- Obligatoire,1- Oui,0,0,DI
140024886,CENTRE HOSPITALIER - BAYEUX,140000092,CENTRE HOSPITALIER DE BAYEUX,CH,28,Normandie,1- Obligatoire,1- Oui,0,0,DI
140026410,CH COTE FLEURIE - SITE DE CRICQUEBOEUF,140026279,CENTRE HOSPITALIER DE LA COTE FLEURIE,CH,28,Normandie,1- Obligatoire,2- Non,0,0,NR
140026709,POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF,140026709,POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF,Privé lucratif,28,Normandie,1- Obligatoire,1- Oui,0,0,DI
150000032,CENTRE HOSPITALIER DE SAINT FLOUR,150780088,CENTRE HOSPITALIER DE SAINT FLOUR,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,0,0,DI
150000040,CENTRE HOSPITALIER HENRI MONDOR,150780096,CENTRE HOSPITALIER H.MONDOR,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,66.53,39,D
150000164,CENTRE HOSPITALIER DE MAURIAC,150780468,CENTRE HOSPITALIER DE MAURIAC,CH,84,Auvergne-Rhône-Alpes,1- Obligatoire,2- Non,0,0,NR
